
Id Ponto:;2300022908
Consulta em:;05/11/2021 15:00:24
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
729;01/10/2015;23:00;12,44;;N;
730;02/10/2015;17:00;12,45;;N;
731;03/10/2015;11:00;12,45;;N;
732;04/10/2015;11:00;12,45;;N;
733;05/10/2015;11:00;12,45;;N;
734;06/10/2015;23:00;12,46;;N;
735;07/10/2015;13:00;12,47;;N;
736;08/10/2015;08:00;12,47;;N;
737;09/10/2015;11:00;12,47;;N;
738;10/10/2015;20:00;12,48;;N;
739;11/10/2015;07:00;12,49;;N;
740;12/10/2015;20:00;12,49;;N;
741;13/10/2015;07:00;12,50;;N;
742;14/10/2015;18:00;12,50;;N;
743;15/10/2015;21:00;12,50;;N;
744;16/10/2015;08:00;12,51;;N;
745;17/10/2015;21:00;12,50;;N;
746;18/10/2015;10:00;12,51;;N;
747;19/10/2015;11:00;12,51;;N;
748;20/10/2015;18:00;12,52;;N;
749;21/10/2015;11:00;12,53;;N;
750;22/10/2015;22:00;12,53;;N;
751;23/10/2015;10:00;12,54;;N;
752;24/10/2015;21:00;12,54;;N;
753;25/10/2015;23:00;12,54;;N;
754;26/10/2015;19:00;12,54;;N;
755;27/10/2015;08:00;12,55;;N;
756;28/10/2015;20:00;12,55;;N;
757;29/10/2015;09:00;12,56;;N;
758;30/10/2015;20:00;12,56;;N;
759;31/10/2015;22:00;12,56;;N;
760;01/11/2015;23:00;12,56;;N;
761;02/11/2015;08:00;12,57;;N;
762;03/11/2015;19:00;12,57;;N;
763;04/11/2015;07:00;12,58;;N;
764;05/11/2015;08:00;12,58;;N;
765;06/11/2015;21:00;12,58;;N;
766;07/11/2015;09:00;12,59;;N;
767;08/11/2015;19:00;12,59;;N;
768;09/11/2015;23:00;12,59;;N;
769;10/11/2015;11:00;12,60;;N;
770;11/11/2015;21:00;12,60;;N;
771;12/11/2015;11:00;12,61;;N;
772;13/11/2015;06:00;12,62;;N;
773;14/11/2015;09:00;12,62;;N;
774;15/11/2015;08:00;12,62;;N;
775;16/11/2015;21:00;12,62;;N;
776;17/11/2015;16:00;12,62;;N;
777;18/11/2015;11:00;12,62;;N;
778;19/11/2015;11:00;12,61;;N;
779;20/11/2015;23:00;12,62;;N;
780;21/11/2015;07:00;12,64;;N;
781;22/11/2015;09:00;12,64;;N;
