
Id Ponto:;2600050937
Consulta em:;05/11/2021 15:08
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
684;01/11/2016;00:00;5,78;;N;
685;02/11/2016;07:00;5,81;;N;
686;03/11/2016;05:00;5,81;;N;
687;04/11/2016;06:00;5,79;;N;
688;05/11/2016;03:00;5,59;;N;
689;06/11/2016;17:00;5,64;;N;
690;07/11/2016;22:00;5,73;;N;
691;08/11/2016;19:00;5,78;;N;
692;09/11/2016;08:00;5,73;;N;
693;10/11/2016;18:00;5,76;;N;
694;11/11/2016;20:00;5,81;;N;
695;12/11/2016;06:00;5,86;;N;
696;13/11/2016;04:00;5,83;;N;
697;14/11/2016;20:00;5,82;;N;
698;15/11/2016;19:00;5,73;;N;
699;16/11/2016;19:00;5,81;;N;
700;17/11/2016;06:00;5,86;;N;
701;18/11/2016;09:00;5,77;;N;
702;19/11/2016;06:00;5,81;;N;
703;20/11/2016;05:00;5,85;;N;
704;21/11/2016;08:00;5,91;;N;
705;22/11/2016;04:00;5,87;;N;
706;23/11/2016;06:00;5,84;;N;
707;24/11/2016;07:00;5,85;;N;
708;25/11/2016;08:00;5,98;;N;
709;26/11/2016;00:00;5,94;;N;
710;27/11/2016;01:00;5,86;;N;
711;28/11/2016;14:00;5,93;;N;
712;29/11/2016;01:00;5,97;;N;
713;30/11/2016;06:00;6,00;;N;
714;01/12/2016;02:00;5,93;;N;
715;02/12/2016;22:00;6,05;;N;
716;03/12/2016;01:00;6,11;;N;
717;04/12/2016;02:00;5,97;;N;
718;05/12/2016;20:00;5,97;;N;
719;06/12/2016;04:00;5,94;;N;
720;07/12/2016;07:00;5,97;;N;
721;08/12/2016;07:00;6,00;;N;
722;09/12/2016;18:00;6,15;;N;
723;10/12/2016;00:00;6,02;;N;
724;11/12/2016;00:00;5,99;;N;
725;12/12/2016;20:00;5,99;;N;
726;13/12/2016;20:00;6,05;;N;
727;14/12/2016;07:00;6,04;;N;
728;15/12/2016;04:00;6,23;;N;
729;16/12/2016;03:00;6,04;;N;
730;17/12/2016;08:00;5,69;;N;
731;18/12/2016;00:00;5,63;;N;
732;19/12/2016;04:00;5,36;;N;
733;20/12/2016;07:00;5,33;;N;
734;21/12/2016;20:00;5,36;;N;
735;22/12/2016;07:00;5,62;;N;
736;23/12/2016;11:00;5,81;;N;
737;24/12/2016;01:00;5,87;;N;
738;25/12/2016;03:00;5,92;;N;
739;26/12/2016;01:00;5,74;;N;
740;27/12/2016;07:00;5,77;;N;
741;28/12/2016;23:00;5,82;;N;
742;29/12/2016;18:00;5,89;;N;
743;30/12/2016;07:00;5,94;;N;
744;31/12/2016;07:00;5,89;;N;
745;01/01/2017;16:00;5,85;;N;
746;02/01/2017;14:00;6,00;;N;
747;03/01/2017;05:00;6,03;;N;
748;04/01/2017;20:00;6,03;;N;
749;05/01/2017;07:00;6,02;;N;
750;06/01/2017;17:00;6,03;;N;
751;07/01/2017;12:00;6,11;;N;
752;08/01/2017;16:00;6,02;;N;
753;09/01/2017;14:00;6,11;;N;
754;10/01/2017;15:00;6,24;;N;
755;11/01/2017;18:00;6,34;;N;
756;12/01/2017;02:00;6,23;;N;
757;13/01/2017;22:00;6,17;;N;
758;14/01/2017;07:00;6,13;;N;
759;15/01/2017;20:00;6,09;;N;
760;16/01/2017;19:00;6,32;;N;
761;17/01/2017;03:00;6,20;;N;
762;18/01/2017;18:00;6,29;;N;
763;19/01/2017;01:00;6,16;;N;
764;20/01/2017;22:00;6,20;;N;
765;21/01/2017;05:00;6,35;;N;
766;22/01/2017;01:00;6,20;;N;
767;23/01/2017;21:00;6,23;;N;
768;24/01/2017;08:00;6,02;;N;
769;25/01/2017;19:00;6,30;;N;
770;26/01/2017;03:00;6,16;;N;
771;27/01/2017;06:00;6,33;;N;
772;28/01/2017;19:00;6,07;;N;
773;29/01/2017;03:00;6,04;;N;
774;30/01/2017;23:00;5,99;;N;
775;31/01/2017;05:00;6,01;;N;
776;01/02/2017;20:00;5,59;;N;
777;02/02/2017;20:00;5,58;;N;
778;03/02/2017;21:00;5,84;;N;
779;04/02/2017;08:00;5,80;;N;
780;05/02/2017;03:00;5,95;;N;
781;06/02/2017;19:00;5,93;;N;
782;07/02/2017;07:00;5,91;;N;
783;08/02/2017;17:00;6,04;;N;
784;09/02/2017;16:00;6,00;;N;
785;10/02/2017;17:00;6,06;;N;
786;11/02/2017;03:00;6,12;;N;
787;12/02/2017;03:00;5,86;;N;
788;13/02/2017;18:00;5,86;;N;
789;14/02/2017;07:00;5,93;;N;
790;15/02/2017;04:00;6,02;;N;
791;16/02/2017;20:00;6,02;;N;
792;17/02/2017;07:00;6,07;;N;
793;18/02/2017;18:00;6,04;;N;
794;19/02/2017;01:00;5,94;;N;
795;20/02/2017;23:00;5,89;;N;
796;21/02/2017;04:00;5,87;;N;
797;22/02/2017;19:00;5,64;;N;
798;23/02/2017;09:00;5,65;;N;
799;24/02/2017;21:00;5,72;;N;
800;25/02/2017;23:00;5,78;;N;
801;26/02/2017;16:00;5,72;;N;
802;27/02/2017;19:00;5,82;;N;
803;28/02/2017;21:00;5,82;;N;
804;01/03/2017;20:00;5,89;;N;
805;02/03/2017;21:00;6,01;;N;
806;03/03/2017;19:00;6,03;;N;
807;04/03/2017;03:00;5,98;;N;
808;05/03/2017;03:00;5,92;;N;
809;06/03/2017;21:00;6,01;;N;
810;07/03/2017;08:00;6,10;;N;
811;08/03/2017;03:00;6,18;;N;
812;09/03/2017;21:00;6,00;;N;
813;10/03/2017;07:00;5,75;;N;
814;11/03/2017;00:00;5,63;;N;
815;12/03/2017;07:00;5,65;;N;
816;13/03/2017;11:00;5,77;;N;
817;14/03/2017;06:00;5,82;;N;
818;15/03/2017;19:00;5,83;;N;
819;16/03/2017;19:00;5,92;;N;
820;17/03/2017;06:00;5,98;;N;
821;18/03/2017;07:00;5,53;;N;
822;19/03/2017;00:00;5,43;;N;
823;20/03/2017;21:00;5,47;;N;
824;21/03/2017;20:00;5,49;;N;
825;22/03/2017;16:00;5,55;;N;
826;23/03/2017;23:00;5,75;;N;
827;24/03/2017;15:00;5,77;;N;
828;25/03/2017;08:00;5,59;;N;
829;26/03/2017;02:00;5,39;;N;
830;27/03/2017;19:00;5,33;;N;
831;28/03/2017;17:00;5,38;;N;
832;29/03/2017;00:00;5,33;;N;
833;30/03/2017;02:00;5,51;;N;
834;31/03/2017;07:00;5,30;;N;
835;01/04/2017;22:00;5,23;;N;
836;02/04/2017;20:00;5,20;;N;
837;03/04/2017;03:00;5,12;;N;
838;04/04/2017;21:00;5,15;;N;
839;05/04/2017;21:00;5,17;;N;
840;06/04/2017;16:00;5,19;;N;
841;07/04/2017;01:00;5,25;;N;
842;08/04/2017;18:00;5,35;;N;
843;09/04/2017;19:00;5,39;;N;
844;10/04/2017;19:00;5,44;;N;
846;11/04/2017;17:00;5,42;;N;
845;11/04/2017;03:00;5,47;;N;
847;12/04/2017;18:00;5,20;;N;
848;13/04/2017;04:00;5,08;;N;
849;14/04/2017;19:00;5,12;;N;
850;15/04/2017;21:00;5,19;;N;
851;16/04/2017;02:00;5,12;;N;
852;17/04/2017;19:00;5,03;;N;
853;18/04/2017;18:00;5,04;;N;
854;19/04/2017;01:00;5,09;;N;
855;20/04/2017;21:00;5,04;;N;
856;21/04/2017;20:00;5,01;;N;
857;22/04/2017;21:00;5,13;;N;
858;23/04/2017;01:00;5,03;;N;
859;24/04/2017;18:00;5,00;;N;
860;25/04/2017;19:00;5,24;;N;
861;26/04/2017;19:00;5,32;;N;
862;27/04/2017;23:00;5,39;;N;
863;28/04/2017;03:00;5,39;;N;
864;29/04/2017;22:00;5,45;;N;
865;30/04/2017;04:00;5,43;;N;
866;01/05/2017;15:00;5,26;;N;
867;02/05/2017;20:00;5,41;;N;
868;03/05/2017;11:00;5,43;;N;
869;04/05/2017;04:00;5,70;;N;
870;05/05/2017;18:00;5,50;;N;
871;06/05/2017;19:00;5,65;;N;
872;07/05/2017;15:00;5,68;;N;
873;08/05/2017;16:00;5,80;;N;
874;09/05/2017;03:00;5,79;;N;
875;10/05/2017;03:00;5,62;;N;
876;11/05/2017;17:00;5,51;;N;
877;12/05/2017;16:00;5,87;;N;
878;13/05/2017;04:00;5,76;;N;
879;14/05/2017;02:00;5,57;;N;
880;15/05/2017;08:00;5,60;;N;
881;16/05/2017;15:00;5,64;;N;
882;17/05/2017;12:00;5,69;;N;
883;18/05/2017;01:00;5,51;;N;
884;19/05/2017;06:00;5,67;;N;
885;20/05/2017;10:00;5,66;;N;
886;21/05/2017;04:00;5,67;;N;
887;22/05/2017;00:00;5,41;;N;
888;23/05/2017;22:00;5,24;;N;
889;24/05/2017;19:00;5,36;;N;
890;25/05/2017;17:00;5,20;;N;
891;26/05/2017;21:00;5,16;;N;
892;27/05/2017;02:00;5,11;;N;
893;28/05/2017;08:00;5,03;;N;
894;29/05/2017;10:00;5,07;;N;
895;30/05/2017;04:00;5,01;;N;
896;31/05/2017;22:00;5,08;;N;
897;01/06/2017;20:00;5,05;;N;
898;02/06/2017;20:00;5,04;;N;
899;03/06/2017;18:00;4,96;;N;
900;04/06/2017;20:00;4,92;;N;
901;05/06/2017;18:00;4,95;;N;
902;06/06/2017;20:00;5,00;;N;
903;07/06/2017;21:00;5,08;;N;
904;08/06/2017;22:00;5,19;;N;
905;09/06/2017;11:00;5,31;;N;
906;10/06/2017;05:00;5,57;;N;
907;11/06/2017;01:00;5,48;;N;
908;12/06/2017;20:00;5,49;;N;
909;13/06/2017;02:00;5,60;;N;
910;14/06/2017;05:00;5,54;;N;
911;15/06/2017;20:00;5,59;;N;
912;16/06/2017;05:00;5,58;;N;
913;17/06/2017;08:00;5,44;;N;
914;18/06/2017;01:00;5,22;;N;
915;19/06/2017;19:00;5,27;;N;
916;20/06/2017;18:00;5,13;;N;
917;21/06/2017;10:00;5,04;;N;
918;22/06/2017;22:00;5,13;;N;
919;23/06/2017;21:00;5,18;;N;
920;24/06/2017;19:00;5,11;;N;
921;25/06/2017;00:00;5,07;;N;
922;26/06/2017;15:00;5,17;;N;
923;27/06/2017;03:00;5,28;;N;
924;28/06/2017;02:00;5,23;;N;
925;29/06/2017;09:00;5,11;;N;
926;30/06/2017;17:00;5,03;;N;
927;01/07/2017;08:00;5,07;;N;
928;02/07/2017;08:00;5,02;;N;
929;03/07/2017;16:00;5,04;;N;
930;04/07/2017;02:00;5,12;;N;
931;05/07/2017;20:00;4,97;;N;
932;06/07/2017;21:00;4,95;;N;
933;07/07/2017;20:00;4,90;;N;
934;08/07/2017;20:00;4,94;;N;
935;09/07/2017;21:00;4,98;;N;
936;10/07/2017;19:00;5,04;;N;
938;11/07/2017;18:00;5,17;;N;
937;11/07/2017;03:00;5,07;;N;
939;12/07/2017;18:00;5,14;;N;
940;13/07/2017;10:00;5,05;;N;
941;14/07/2017;17:00;5,07;;N;
942;15/07/2017;07:00;5,13;;N;
943;16/07/2017;20:00;5,17;;N;
944;17/07/2017;10:00;5,34;;N;
945;18/07/2017;04:00;5,38;;N;
946;19/07/2017;06:00;5,43;;N;
947;20/07/2017;03:00;5,17;;N;
948;21/07/2017;08:00;5,37;;N;
949;22/07/2017;02:00;5,25;;N;
950;23/07/2017;04:00;5,32;;N;
951;24/07/2017;18:00;5,14;;N;
952;25/07/2017;01:00;5,07;;N;
953;26/07/2017;03:00;4,98;;N;
954;27/07/2017;02:00;4,90;;N;
955;28/07/2017;22:00;4,94;;N;
956;29/07/2017;18:00;5,00;;N;
