
Id Ponto:;2300022135
Consulta em:;16/06/2021 19:04:36
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1795;01/06/2017;17:00;16,78;;N;
1796;02/06/2017;20:00;16,75;;N;
1797;03/06/2017;09:00;16,83;;N;
1798;04/06/2017;07:00;16,85;;N;
1799;05/06/2017;14:00;16,62;;N;
1800;06/06/2017;08:00;16,69;;N;
1801;07/06/2017;20:00;16,64;;N;
1802;08/06/2017;17:00;16,73;;N;
1803;09/06/2017;05:00;16,99;;N;
1804;10/06/2017;07:00;16,75;;N;
1805;11/06/2017;15:00;16,85;;N;
1806;12/06/2017;20:00;16,70;;N;
1807;13/06/2017;07:00;16,85;;N;
1808;14/06/2017;07:00;16,89;;N;
1809;15/06/2017;08:00;16,79;;N;
1810;16/06/2017;15:00;16,93;;N;
1811;17/06/2017;16:00;16,99;;N;
1812;18/06/2017;07:00;16,76;;N;
1813;19/06/2017;14:00;16,94;;N;
1814;20/06/2017;15:00;16,98;;N;
1815;21/06/2017;14:00;17,03;;N;
1816;22/06/2017;15:00;17,08;;N;
1817;23/06/2017;07:00;16,88;;N;
1818;24/06/2017;20:00;16,81;;N;
1819;25/06/2017;14:00;16,93;;N;
1820;26/06/2017;07:00;17,01;;N;
1821;27/06/2017;08:00;16,89;;N;
1822;28/06/2017;07:00;17,00;;N;
1823;29/06/2017;10:00;16,96;;N;
1824;30/06/2017;14:00;17,15;;N;
1825;01/07/2017;15:00;16,97;;N;
1826;02/07/2017;15:00;17,03;;N;
1827;03/07/2017;21:00;17,00;;N;
1828;04/07/2017;07:00;17,14;;N;
1829;05/07/2017;20:00;16,88;;N;
1830;06/07/2017;19:00;17,08;;N;
1831;07/07/2017;16:00;17,15;;N;
1832;08/07/2017;09:00;17,13;;N;
1833;09/07/2017;05:00;17,32;;N;
1834;10/07/2017;20:00;17,09;;N;
1835;11/07/2017;07:00;17,26;;N;
1836;12/07/2017;22:00;17,12;;N;
1837;13/07/2017;07:00;17,19;;N;
1838;14/07/2017;09:00;17,14;;N;
1839;15/07/2017;07:00;17,23;;N;
1840;16/07/2017;20:00;17,10;;N;
1841;17/07/2017;15:00;17,28;;N;
1842;18/07/2017;15:00;17,33;;N;
1843;19/07/2017;20:00;17,15;;N;
1844;20/07/2017;15:00;17,24;;N;
1845;21/07/2017;15:00;17,30;;N;
1846;22/07/2017;15:00;17,20;;N;
1847;23/07/2017;16:00;17,30;;N;
1848;24/07/2017;20:00;17,14;;N;
1849;25/07/2017;15:00;17,28;;N;
1850;26/07/2017;08:00;17,14;;N;
1851;27/07/2017;14:00;17,25;;N;
1852;28/07/2017;08:00;17,19;;N;
1853;29/07/2017;14:00;17,29;;N;
1854;30/07/2017;08:00;17,28;;N;
1855;31/07/2017;20:00;17,44;;N;
1856;01/08/2017;13:00;17,54;;N;
1857;02/08/2017;09:00;17,48;;N;
1858;03/08/2017;20:00;17,42;;N;
1859;04/08/2017;06:00;17,55;;N;
1860;05/08/2017;13:00;17,61;;N;
1861;06/08/2017;21:00;17,72;;N;
1862;07/08/2017;16:00;17,72;;N;
1863;08/08/2017;15:00;17,72;;N;
1864;09/08/2017;15:00;17,74;;N;
1865;10/08/2017;14:00;17,81;;N;
1866;11/08/2017;16:00;17,78;;N;
1867;12/08/2017;20:00;17,79;;N;
1868;13/08/2017;14:00;17,76;;N;
1869;14/08/2017;14:00;17,77;;N;
1870;15/08/2017;15:00;17,72;;N;
1871;16/08/2017;21:00;17,80;;N;
1872;17/08/2017;16:00;17,82;;N;
1873;18/08/2017;16:00;17,88;;N;
1874;19/08/2017;15:00;18,04;;N;
1875;20/08/2017;14:00;17,93;;N;
1876;21/08/2017;21:00;17,92;;N;
1877;22/08/2017;16:00;17,92;;N;
1878;23/08/2017;08:00;17,72;;N;
1879;24/08/2017;20:00;17,96;;N;
1880;25/08/2017;06:00;17,90;;N;
1881;26/08/2017;07:00;17,78;;N;
1882;27/08/2017;21:00;17,60;;N;
1883;28/08/2017;07:00;17,66;;N;
1884;29/08/2017;20:00;17,76;;N;
1885;30/08/2017;07:00;17,81;;N;
1886;31/08/2017;13:00;17,82;;N;
